category	offset_hex	length	text
sampling_audio	0xb3800	16	Direct Recording
sampling_audio	0xb3830	22	DIRECT RECORDING mode.
sequencer_song	0xb38c8	5	TRACK
sequencer_song	0xb3978	6	Track:
sequencer_song	0xb3a00	5	TRACK
sequencer_song	0xb3a70	6	Track:
sampling_audio	0xb3a7c	7	ANALOG 
sampling_audio	0xb3a84	7	DIGITAL
sequencer_song	0xb3c18	7	Track  
storage_filesystem	0xb3d08	12	Disk status:
midi_program	0xb6cd1	13	123-NOTE OFF 
sampling_audio	0xb6cfb	13	126-MONO ON  
midi_program	0xb7553	16	123-ALL NOTE OFF
sampling_audio	0xb7586	16	126-MONO MODE ON
storage_filesystem	0xb9852	28	   Insert Memory Card !!    
storage_filesystem	0xb9900	28	       Disk is full!!       
update_flash	0xb9957	28	       File write error !!  
update_flash	0xb99ae	28	      Close write error !!  
storage_filesystem	0xb9a5c	28	      USB<===>MPC2500 !!    
sequencer_song	0xb9ad0	28	     End of sequence !!     
sequencer_song	0xb9aed	28	    Sequence is unused !!   
sequencer_song	0xb9b0a	28	  Too many bars! (999max)   
update_flash	0xb9b44	28	   Flash ROM erase error!!  
update_flash	0xb9b61	28	   Flash ROM write error!!  
update_flash	0xb9b7e	28	   Flash ROM read  error!!  
midi_program	0xb9b9b	28	    Program name exist!!    
sampling_audio	0xb9bb8	28	     Sample name exist!!    
sampling_audio	0xb9bd5	28	     No sample wave !!      
sampling_audio	0xb9c49	28	     ChopShop sample !!     
update_flash	0xb9cf7	28	       Erase error !!       
legacy_compatibility	0xb9d14	28	   Not MPC2000XL file !!    
midi_program	0xba56d	4	MIDI
storage_filesystem	0xba588	15	MEMORY CARD    
storage_filesystem	0xba598	15	HARD DISK      
midi_program	0xba5d9	16	PROGRAMS        
sampling_audio	0xba5ea	16	SAMPLES         
sequencer_song	0xba61d	16	ALL SEQS & SONGS
sampling_audio	0xba650	16	MPC2000 SAMPLES 
storage_filesystem	0xba686	15	MEMORY CARD    
storage_filesystem	0xba696	15	HARD DISK      
storage_filesystem	0xba6c4	15	MEMORY CARD    
storage_filesystem	0xba6d4	15	HARD DISK      
sequencer_song	0xbac3e	8	AS TRACK
midi_program	0xbacc9	14	MIDI CLOCK    
midi_program	0xbacd8	14	MIDI TIME CODE
midi_program	0xbacf6	14	MIDI CLOCK    
midi_program	0xbad05	14	MIDI TIME CODE
sampling_audio	0xbadd8	6	MONO L
sampling_audio	0xbaddf	6	MONO R
sampling_audio	0xbade6	6	STEREO
sequencer_song	0xbb0f4	13	TAP TEMPO    
sequencer_song	0xbb2b0	18	TO SEQUENCE LENGTH
sequencer_song	0xbb2c3	18	TO SEQUENCE END   
midi_program	0xbb39e	14	NOTE          
sequencer_song	0xbb3cb	14	PROGRAM CHANGE
sequencer_song	0xbb416	14	TEMPO CHANGE  
sequencer_song	0xbb434	14	TRACK MUTE    
storage_filesystem	0xbb680	15	HARD DISK      
sampling_audio	0xbb816	14	PATCHED PHRASE
sampling_audio	0xbb825	14	SLICED SAMPLES
storage_filesystem	0xbbc38	11	MEMORY CARD
storage_filesystem	0xbbc44	11	HARD DISK  
